num,dialogueID, tag, tag
86915,10000.tsv,anybody... :/,  Signal-non-understanding
86916,10000.tsv,plz somone,  other
86917,10000.tsv,help,  statement-opinion
86918,10000.tsv,expert,  other
86919,10000.tsv,:\,  other 
86920,10000.tsv,im a linux noob,  Statement-non-opinion
86921,10000.tsv,this is first time installing ubuntu,  Statement-non-opinion
86922,10000.tsv,and i installed slackware before and it worked fine,  Statement-non-opinion
86923,10000.tsv,but now im trying to boot ubuntu and it wont let me do crap,Statement-opinion
86924,10000.tsv,right before i get the blaack screen with the command prompt top left that does not let me type anything i can type a little briefly,Statement-opinion
86925,10000.tsv,"i'm new myself, but i solved lots of problems by quiting the instalation in the user information setting stage",Statement-opinion
86926,10000.tsv,it goes after that into a reboot and a second stage,Statement-opinion
86927,10000.tsv,err tip,Other
86928,10000.tsv,what was it again,Declarative Wh-Question
86929,10000.tsv,"i'm new myself, but i solved lots of problems by quiting the instalation in the user information setting stage",Statement-opinion
86930,10000.tsv,"i dont remember how, but i quit the instalation at the point when it asks you to set password etc, and then it went into a reboot and a second stage that went fine",Other
86931,10000.tsv,"give it a whirl, can anybody help my poor ass in the meantime???",Conventional-closing
86932,10000.tsv,u didnt fill me in specific,Other
86933,10000.tsv,"as much as i can. you go through the process, and for me it worked to quit in the user info part, when you set the time zone, user name password etc. but it was my last stage that didnt get stuck. so try exiting instalation there or on the last one working for you",Other
86934,10000.tsv,are you like 12?,Yes-No-Question
657033,10000.tsv,Does anyone have a little time to help me get my old info into my new version of Ubuntu?,Open-question 
657034,10000.tsv,well I installed 10.04 into a new partition and left my old 9.04 alone so I didn't have to worry about losing information. Now I need to link it or move it to 10.04,Statement-opinion
657035,10000.tsv,I'm not sure what the best cure really is, statement-opinion 
657036,10000.tsv,can you mount it as your hoe?,Yes-No-Question
657037,10000.tsv,can you mount it as your home?,Yes-no-question 
657038,10000.tsv,you can copy it to your new partition then with Gparted,Statement-non-opinion
657039,10000.tsv,what a re u refferring by info?,Wh-question 
657040,10000.tsv,"do you mean settings, data, exactly what?",Wh-question 
657041,10000.tsv,"sorry, had to logut to get into another shell",Apology
657042,10000.tsv,try to rad thi: https://help.ubuntu.com/community/AutomaticallyMountPartitions,Action-directive
