dialogueID,text,
acs-00ad5526-bb84-4148-ac30-19afca56c12b-1,hello good morning have a nice day,Conventional-opening
acs-00ad5526-bb84-4148-ac30-19afca56c12b-1,Hello! Welcome to ACS Software Solutions. How may I help you today?,Conventional-opening
acs-00ad5526-bb84-4148-ac30-19afca56c12b-1,my name is martin ,Statement-non-opinion
acs-00ad5526-bb84-4148-ac30-19afca56c12b-1,am working at out look,Statement-non-opinion
acs-00ad5526-bb84-4148-ac30-19afca56c12b-1, please?",Tag-Question
acs-00ad5526-bb84-4148-ac30-19afca56c12b-1,and my skype application was an some problem,Statement-non-opinion
acs-00ad5526-bb84-4148-ac30-19afca56c12b-1, could you tell me as to what the problem is?",Open-Question
acs-00ad5526-bb84-4148-ac30-19afca56c12b-1,the application is not running,Statement-non-opinion
acs-00ad5526-bb84-4148-ac30-19afca56c12b-1, I'll do my best to help. Could you share your name and account number?",Open-Question
acs-00ad5526-bb84-4148-ac30-19afca56c12b-1,my name is martin and my account numeber is 1445,Statement-non-opinion
acs-00ad5526-bb84-4148-ac30-19afca56c12b-1, thanks! Could you also share the name of you company?",Open-Question
acs-00ad5526-bb84-4148-ac30-19afca56c12b-1,my company name is outlook,Statement-non-opinion
acs-00ad5526-bb84-4148-ac30-19afca56c12b-1,outlook software company,Statement-non-opinion
acs-00ad5526-bb84-4148-ac30-19afca56c12b-1,Oh yes! Thanks again! Could you check and tell me if you're using the latest version of this application?,Open-Question
acs-00ad5526-bb84-4148-ac30-19afca56c12b-1,yes am not using latest version application,Statement-non-opinion
acs-00ad5526-bb84-4148-ac30-19afca56c12b-1, you'll be facing these issue. Could you please upgrade and let me know if the application is responding?",Open-Question
acs-00ad5526-bb84-4148-ac30-19afca56c12b-1,yes okay i will do my updation process,Statement-non-opinion
acs-00ad5526-bb84-4148-ac30-19afca56c12b-1, could you tell me if you're able to run the application without any errors?",Open-Question
acs-00ad5526-bb84-4148-ac30-19afca56c12b-1,yes now updated version is running normally ,Statement-non-opinion
acs-00ad5526-bb84-4148-ac30-19afca56c12b-1,Great! Would you need anything else?,Open-Question
acs-00ad5526-bb84-4148-ac30-19afca56c12b-1,nothing,Affirmative non-yes answers
acs-00ad5526-bb84-4148-ac30-19afca56c12b-1,It was a pleasure to assist you today. Have a wonderful day!,Conventional-closing
acs-629291d6-ca2b-4b63-aaf7-012ef4f602c9-1,Hello,Conventional-opening
acs-629291d6-ca2b-4b63-aaf7-012ef4f602c9-1,Hello! Welcome to ACS Software Solutions. How may I help you today?,Conventional-opening
acs-629291d6-ca2b-4b63-aaf7-012ef4f602c9-1,Hey Charlie.  I'm having issues with Skype.  I think an update failed.,Statement-non-opinion
acs-629291d6-ca2b-4b63-aaf7-012ef4f602c9-1, I'll do my best to help. Could you share your name and the account number?",Open-Question
acs-629291d6-ca2b-4b63-aaf7-012ef4f602c9-1,Sure. I'm Dave Jenkins and my account is 499753B,Statement-non-opinion
acs-629291d6-ca2b-4b63-aaf7-012ef4f602c9-1, Dave! I would also require you to share the name of the company you're working for.",Statement-opinion
acs-629291d6-ca2b-4b63-aaf7-012ef4f602c9-1, it's Mazda",Statement-non-opinion
acs-629291d6-ca2b-4b63-aaf7-012ef4f602c9-1, I suggest you to upgrade the application manually as for this time and I'll have a ticket raised for you.",Statement-opinion
acs-629291d6-ca2b-4b63-aaf7-012ef4f602c9-1, Charlie.",Statement-non-opinion
acs-629291d6-ca2b-4b63-aaf7-012ef4f602c9-1,Thank you for your kind words. Have I helped you?,Thanking
acs-629291d6-ca2b-4b63-aaf7-012ef4f602c9-1, Charlie.  Let's wrap this up so I can update Skype.",Statement-opinion
acs-629291d6-ca2b-4b63-aaf7-012ef4f602c9-1, I've raised the ticket for you. The team will contact you soon and will have the issue resolved within 3 hours. Would there be anything else that I could help you with?",Statement-non-opinion
acs-629291d6-ca2b-4b63-aaf7-012ef4f602c9-1, Charlie.  Thanks!",Thanking
